Charge,Total_Arraignments,ShortDesc,LongDesc
PL 120.00,34445,ASSAULT-3,Assault-3rd Degree
PL 155.25,20878,PETIT LARCENY,Petit Larceny
PL 220.03,13924,CPCS-7,Criminal Possession Controlled Substance- 7th Degree
VTL 511.01A,13889,AGG UNLIC OPER3,Aggravated Unlicensed Operation Of A Motor Vehicle- 3rd Degree
PL 221.10,9062,POS MARIHUANA-5,Criminal Possession Of Marihuana-5th Degree
PL 165.15,7531,THEFT OF SERV,Theft Of Services
PL 145.00,6085,CRIM MISCHIEF-4,Criminal Mischief-4th Degree
PL 120.05,4822,ASSAULT-2ND,Assault -2nd Degree
PL 215.50,4459,CRIM CONTEMPT-2,Criminal Contempt-2nd Degree
PL 265.01,4126,CRIM POS WEAP-4,Criminal Possession Weapon - 4th Degree